"TopCut"	"minimum_log2fc_down"	"minimum_MinuslogP_down"	"minimum_Pi_down"	"minimum_log2fc_up"	"minimum_MinuslogP_up"	"minimum_Pi_up"	"minimum_log2fc_combined"	"minimum_MinuslogP_combined"	"minimum_Pi_combined"	"maximum_MinuslogP_up"	"sum_MinuslogP_up"	"times_significant_up"	"maximum_MinuslogP_down"	"sum_MinuslogP_down"	"times_significant_down"	"maximum_MinuslogP_any"	"sum_MinuslogP_any"	"times_significant_any"	"maximum_MinuslogP_meanUPandDOWN"	"sum_MinuslogP_meanUPandDOWN"	"times_significant_meanUPandDOWN"
600	0.279	2.07675598136972	1.45480690265281	0.25	1.60380065290426	1.09173795486958	0.279	1.09173795486958	0.279	1.11914910244728	22.3181683204406	0.00489596083231334	3.598376364164	19.9850270972357	0.00244798041615667	1.43201841884529	133.872807013733	0.0171358629130967	1.11914910244728	22.3181683204406	0.00489596083231334
650	0.279	2.07675598136972	1.3598992606393	0.25	1.49214412830417	1.0003613119421	0.279	1.0003613119421	0.279	0.80239734401622	28.0652981212279	0.00122399020807834	4.47227346790818	16.280239229515	0.00367197062423501	1.53014894403326	123.145882546277	0.0171358629130967	0.80239734401622	28.0652981212279	0.00122399020807834
700	0.279	2.07675598136972	1.27368931452949	0.25	1.39794000867204	0.920135759593574	0.279	0.920135759593574	0.279	0.712682180003124	22.3071428976527	0.00611995104039168	4.19134302643874	29.4990334538398	0.00367197062423501	1.65173657035267	119.114290184625	0.01468788249694	0.712682180003124	22.3071428976527	0.00611995104039168
750	0.274	2.07675598136972	1.1989347974004	0.242	1.30980391997149	0.868025863920968	0.274	0.868025863920968	0.274	0.587133515788774	27.0174548879954	0	4.91041931284589	39.9649896766771	0.00489596083231334	1.89974002137509	104.844662411578	0.01468788249694	0.587133515788774	27.0174548879954	0
800	0.274	2.06752623532285	1.12951654882718	0.242	1.30980391997149	0.79870106559748	0.274	0.79870106559748	0.274	0.410074216291104	20.1140548559029	0	4.57026080731638	41.5126978797211	0.00489596083231334	2.73824743974309	117.319842624127	0.0134638922888617	0.410074216291104	20.1140548559029	0
850	0.274	1.48280410205003	1.07330028647123	0.233	1.1605219526258	0.742098216783047	0.274	0.742098216783047	0.274	0.39935520156583	18.6759303309163	0	4.33635259936101	39.5992858914927	0.00489596083231334	2.21261200739272	92.4751858327149	0.00979192166462668	0.39935520156583	18.6759303309163	0
900	0.274	1.41341269532825	1.00308739224236	0.232	1.1605219526258	0.689650817804699	0.274	0.689650817804699	0.274	0.392691487882702	17.0454572246101	0	4.08008734967403	33.6890098278144	0.00489596083231334	1.87000410234385	72.8215336826555	0.011015911872705	0.392691487882702	17.0454572246101	0
950	0.274	1.41341269532825	0.947166741254061	0.23	1.1605219526258	0.63787925086964	0.274	0.63787925086964	0.274	0.752083235759738	25.5522355010229	0.0208078335373317	3.77920318401053	33.3050709353206	0.00489596083231334	1.99176304512073	54.9672224530473	0.0122399020807834	0.752083235759738	25.5522355010229	0.0208078335373317
1000	0.274	1.41341269532825	0.879210652216027	0.23	1.1605219526258	0.600035305083668	0.274	0.600035305083668	0.274	0.591272504269671	17.8950852522398	0	3.56206305730497	30.4402065821144	0.00489596083231334	1.63886131037711	43.4297656315449	0.011015911872705	0.591272504269671	17.8950852522398	0
1050	0.274	1.41341269532825	0.820969924734312	0.23	1.1007268126824	0.543901200688368	0.274	0.543901200688368	0.274	0.538887656551266	13.9887115253118	0	3.39471791016073	27.0259924922163	0.00489596083231334	1.80653949495233	35.2422463567261	0.011015911872705	0.538887656551266	13.9887115253118	0
1100	0.274	1.41341269532825	0.773130861383249	0.23	1.1007268126824	0.500787370491529	0.274	0.500787370491529	0.274	0.684302142238255	15.6770464137628	0	3.18530877268467	27.9687184507819	0.00489596083231334	1.43676191728448	40.127842071784	0.00979192166462668	0.684302142238255	15.6770464137628	0
1150	0.274	1.41341269532825	0.72333817940429	0.23	1	0.455795172159028	0.274	0.455795172159028	0.274	0.61321808156041	17.0358574957611	0	3.0265818695801	28.3631297213423	0.00489596083231334	1.16608736296755	32.1129441256703	0.00734394124847001	0.61321808156041	17.0358574957611	0
1200	0.274	1.08724669632868	0.677354691812766	0.23	1	0.421807348038495	0.274	0.421807348038495	0.274	0.712519291660785	16.742619012028	0.00367197062423501	2.76767897397339	21.7955723198382	0.00367197062423501	1.28809695079915	18.1115722376947	0.00979192166462668	0.712519291660785	16.742619012028	0.00367197062423501
1250	0.274	1.05012229596313	0.615650829591933	0.229	0.903089986991944	0.388520048523108	0.274	0.388520048523108	0.274	0.732454540753218	16.5516542555767	0.00489596083231334	3.50002521556344	21.6649918842876	0.00489596083231334	1.50055914564326	15.5196142729419	0.00979192166462668	0.732454540753218	16.5516542555767	0.00489596083231334
1300	0.274	1.00436480540245	0.559196598317744	0.229	0.903089986991944	0.353979133261906	0.274	0.353979133261906	0.274	0.646027409528915	13.8810847055578	0	3.36485564668261	19.8259836832035	0.00489596083231334	1.5736541120869	14.5441314378866	0.00856793145654835	0.646027409528915	13.8810847055578	0
1350	0.274	0.97061622231479	0.487633805508371	0.229	0.728158393463501	0.317240725182653	0.274	0.317240725182653	0.274	0.52539749925214	11.2327356372099	0	3.16586431242051	16.49985586297	0.00611995104039168	2.32104093587291	20.0798937580128	0.00856793145654835	0.52539749925214	11.2327356372099	0
1400	0.274	0.882728704344236	0.437057097466542	0.229	0.721246399047171	0.269742584752374	0.274	0.269742584752374	0.274	0.422995157488437	9.17723600595747	0	2.96972791173348	18.4518951313408	0.00489596083231334	3.07124015502273	24.5180962373805	0.00856793145654835	0.422995157488437	9.17723600595747	0
1450	0.274	0.749579997691106	0.365851043463368	0.229	0.621602099051862	0.22471758427247	0.274	0.22471758427247	0.274	0.558043502586181	11.3285785059713	0	2.79990963294667	22.9861074001478	0.00489596083231334	2.85458959085289	29.5417756829666	0.00979192166462668	0.558043502586181	11.3285785059713	0
1500	0.274	0.380906669373257	0.127603734240041	0.229	0.341988603342888	0.0854971508357219	0.274	0.0854971508357219	0.127603734240041	0.686927995596252	12.9894151069798	0	2.60161736474807	21.7877606818492	0.00367197062423501	3.12843193825258	27.5990614264276	0.00979192166462668	0.686927995596252	12.9894151069798	0
